Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
ARE,abu-dhabi,01:00.0,77.7,11,8,24,12,31:30.0,9.612933545,9.593426,0.019507545
ARE,abu-dhabi,01:30.0,137,12,15.6,41,11,01:30.0,9.816147988,9.781914559,0.034233429
ARE,abu-dhabi,01:30.0,127.7,13,15.9,38,12,01:30.0,9.975730578,9.911576943,0.064153635
ARE,abu-dhabi,16:00.0,136.2,14,18.1,45,12,01:30.1,10.03525908,9.966682713,0.068576366
ARE,abu-dhabi,31:30.0,104.5,13,14.7,33,12,31:30.0,9.874086789,9.87932646,-0.005239672
ARE,abu-dhabi,31:30.0,61.8,12,11.7,25,10,16:30.0,9.715789375,9.707075599,0.008713777
ARE,abu-dhabi,01:30.0,25.5,10,8.7,7,10,16:30.0,9.440785068,9.439664795,0.001120273
ARE,abu-dhabi,16:30.0,35.1,10,8.8,11,10,16:30.0,9.383798834,9.281374901,0.102423933
ARE,abu-dhabi,16:30.0,20.5,9,7.3,7,9,16:30.0,9.182365376,9.102676134,0.079689242
ARE,abu-dhabi,46:30.0,16.5,9,3.7,7,8,31:30.0,9.080631643,8.966681105,0.113950538
ARE,abu-dhabi,46:30.0,33.6,4,4.1,4,4,46:30.0,8.514703325,8.652402405,-0.13769908
ARE,abu-dhabi,01:30.0,2.7,1,0.2,1,1,01:30.0,8.174611543,8.414897134,-0.240285592
ARE,abu-dhabi,01:30.0,15.2,2,1.6,3,2,01:30.0,8.336470232,8.540304778,-0.203834546
ARE,abu-dhabi,01:30.0,13.6,2,2.6,5,3,01:30.0,8.459093308,8.712481071,-0.253387763
ARE,abu-dhabi,01:30.0,10.4,4,1,4,5,01:00.0,8.803455108,8.979697117,-0.17624201
ARE,abu-dhabi,01:00.0,22.9,7,3.8,10,8,01:00.0,9.307169905,9.505895514,-0.198725608
ARE,abu-dhabi,01:00.0,38.4,10,4.7,13,11,01:00.0,9.774792594,9.997884884,-0.22309229
ARE,abu-dhabi,01:00.0,92,13,10.8,33,13,01:00.0,10.09139403,10.35974242,-0.268348386
ARE,abu-dhabi,01:00.0,147,16,16.8,50,16,01:00.0,10.3464709,10.66166568,-0.315194776
ARE,abu-dhabi,01:00.0,232.3,19,26.7,74,19,01:00.0,10.57539007,10.78050253,-0.205112462
ARE,abu-dhabi,01:00.0,434,24,53.4,120,22,01:00.0,10.92183962,10.7023384,0.219501223
